genes	Ff_mean	Fm_mean	theta	prob	log2FC
Rphi_RPHIM00000000361	117.562167728167	40.1204697752	0.593774875106856	0.964159525693604	1.55101346234912
Rphi_RPHIM00000016836	541.6750113505	271.114199492167	0.702115634114106	0.964151499982654	0.998526861975382
Rphi_RPHIM00000032248	111.2428981085	58.748210605	0.593849859651841	0.964147517040342	0.921096420666028
Rphi_RPHIM00000015888	25.8606337189333	8.4759728168	0.579564244712652	0.964146278433048	1.60930676307367
Rphi_RPHIM00000017550	24.2710053305667	5.78723363736667	0.59392210839661	0.964135941411169	2.06828807399587
Rphi_RPHIM00000011408	105.3918760947	35.5953506013667	0.579394195459086	0.964122302631001	1.56600294776604
Rphi_RPHIM00000006389	151.193578142767	77.0390249092333	0.701758583560125	0.964112775692733	0.972735515175382
Rphi_RPHIM00000023825	146.218061572367	70.5379096861333	0.594076084501298	0.964111254749703	1.05165080224837
Rphi_RPHIM00000008704	167.664042836167	92.4164508369667	0.594093747517521	0.96410842141717	0.859351731875904
Rphi_RPHIM00000018929	360.3979009467	193.695545029233	0.594110157832723	0.964105788761792	0.895799835999819
Rphi_RPHIM00000017621	289.470661930067	174.032117415033	0.701493349855126	0.964084072132115	0.734063559137798
Rphi_RPHIM00000010916	387.7860577141	217.535106527533	0.579121880099598	0.964082462986584	0.834012687768513
Rphi_RPHIM00000022646	11.0712636965	3.07294722393333	0.594278992206775	0.964078688126812	1.84912500884222
Rphi_RPHIM00000030918	244.8204008826	158.268023227933	0.594335702676461	0.964069579017459	0.629353982738745
Rphi_RPHIM00000009680	24.0192333372	2.34321676956667	0.701359749776898	0.964067535405906	3.35762777448908
Rphi_RPHIM00000031786	525.0464110511	249.149636396367	0.578797556591965	0.964035098971006	1.07543248568706
Rphi_RPHIM00000032071	201.4983161168	106.953629177533	0.701086144218417	0.964033517057256	0.913782345249164
Rphi_RPHIM00000028231	274.413295055733	159.193760680167	0.701022552509932	0.964025619812638	0.785566587276089
Rphi_RPHIM00000012502	741.799836411867	279.8985682883	0.700870610184663	0.964006764833009	1.4061258422981
Rphi_RPHIM00000001854	77.0481812856667	16.7094786233333	0.700806435426789	0.963998807217959	2.20509418399317
Rphi_RPHIM00000034279	58.1628137807	18.0989850391	0.700673434831534	0.963982326633413	1.68418826950801
Rphi_RPHIM00000019878	91.7521785818333	47.0619317070667	0.594867197477913	0.963981508859195	0.96318187526756
Rphi_RPHIM00000024481	1937.115729956	1381.9662022501	0.578276498434482	0.963959195438514	0.487187814873204
Rphi_RPHIM00000003932	622.8354959886	358.534853425467	1.14500728394961	0.963929740762052	0.796737796180796
Rphi_RPHIM00000026169	29.4917943577667	5.48988719226667	0.699885811102542	0.963882165683217	2.4254651926554
Rphi_RPHIM00000006311	299.0371256013	171.4253729526	0.595421084069328	0.963878473947108	0.802743945887024
Rphi_RPHIM00000000916	108.261178989633	30.8639882715	0.699740466118439	0.96386233423482	1.81051959915848
Rphi_RPHIM00000018349	532.621051396833	370.685274200933	0.577529868580633	0.963840750087648	0.522914647013389
Rphi_RPHIM00000030931	140.7917103555	78.1333656856	0.577510687384192	0.963837651404152	0.849551725940024
Rphi_RPHIM00000024628	346.1098807046	247.473364763733	0.577466063285444	0.963830443842066	0.483956869823904
Rphi_RPHIM00000031090	765.393849773867	426.386581496567	0.577358670082331	0.963813105842399	0.844040271657955
Rphi_RPHIM00000008650	58.3398031110667	22.2107963943333	0.595814033880301	0.963805168691573	1.39321939399727
Rphi_RPHIM00000002569	228.483194035867	127.3092305095	0.699117572712664	0.963777571826191	0.843751027380898
Rphi_RPHIM00000027466	190.770325126967	97.8558489018667	0.576815243982182	0.963725542740238	0.963106784154473
Rphi_RPHIM00000032108	83.4623111962	39.4318750143333	0.576574911998373	0.963684766889654	1.08176255826226
Rphi_RPHIM00000010944	236.8589936553	102.9261338324	0.576374730379276	0.963650112090515	1.20241911136797
Rphi_RPHIM00000028951	92.3914887995	24.3599545450667	0.698104017016506	0.963632577647066	1.92324851396595
Rphi_RPHIM00000020647	250.7256737613	147.449085920267	0.697973914923899	0.963613376805772	0.765892853815085
Rphi_RPHIM00000022691	112.5857081622	52.7644764204	0.575796322021527	0.963550211989558	1.09338483074603
Rphi_RPHIM00000003212	441.8651527028	285.4312143351	0.597340203029506	0.963488810786385	0.630463044301155
Rphi_RPHIM00000007530	71.758301538	32.894583633	0.597354742848181	0.963485702363096	1.12529569144684
Rphi_RPHIM00000021491	2506.25799271587	1296.4853085368	0.697091558106818	0.963480904747928	0.950929074471826
Rphi_RPHIM00000024241	0.1	3.48149182103333	-1.00411041329121	0.963477867793757	-5.12163372901373
Rphi_RPHIM00000006974	0.1	3.48149182103333	-1.00411041329121	0.963477867793757	-5.12163372901373
Rphi_RPHIM00000026822	0.1	3.48149182103333	-1.00411041329121	0.963477867793757	-5.12163372901373
Rphi_RPHIM00000024938	0.1	3.48149182103333	-1.00411041329121	0.963477867793757	-5.12163372901373
Rphi_RPHIM00000006046	532.716490930267	298.917416946533	0.696977337784755	0.963462865355097	0.833620981470484
Rphi_RPHIM00000011540	152.716688914333	87.2970198174333	0.575223897082187	0.963450183525179	0.806853420315659
Rphi_RPHIM00000005833	237.793187713867	124.8413916733	0.57519916366185	0.963445659389859	0.929611040480287
Rphi_RPHIM00000018484	124.9858609507	49.5034487852	0.574645309751304	0.963344525245142	1.33616395609677
Rphi_RPHIM00000007075	445.5672827054	124.355824329567	0.696225644072905	0.963344503044911	1.84116922256802
Rphi_RPHIM00000021663	34.8166186719333	7.42396215446667	0.696113437909079	0.963326887878076	2.22951483672413
Rphi_RPHIM00000017359	67.0538616498667	32.5427387975	0.574513623084276	0.963320528223637	1.04298474635509
Rphi_RPHIM00000012958	4.10525285416667	0.1	1.27525853607394	0.963315093173714	5.35939917930648
Rphi_RPHIM00000001775	292.286593845767	171.653239454167	0.695899715945707	0.963292999466445	0.76788657512039
Rphi_RPHIM00000022115	86.6793819197667	43.5185120495333	0.598243884302147	0.963281719117054	0.994059636170248
Rphi_RPHIM00000023373	117.9831330959	55.8074942332333	0.69579639100738	0.963275927711778	1.0800498505304
Rphi_RPHIM00000028185	32.6202110317667	7.2262590562	0.695757412950964	0.963269490783872	2.1744452349965
Rphi_RPHIM00000015615	323.7825547147	165.8440949317	0.574225304978546	0.963268054162963	0.96519761161803
