genes	Mf_mean	Mm_mean	theta	prob	log2FC
Rphi_RPHIM00000012363	6.7975396433	371.725622229933	-3.2614893539695	1	-5.77308166311683
Rphi_RPHIM00000024559	0.1	6.4760367761	-2.27009090396758	1	-6.01703927332377
Rphi_RPHIM00000032219	656.3573226039	396.502676623633	1.82420217472534	1	0.727150830584561
Rphi_RPHIM00000028278	0.1	14.3581342298667	-3.38106398945106	1	-7.16572447986881
Rphi_RPHIM00000006705	8979.30846730493	14575.7503863309	-2.31290070497805	1	-0.698893911317239
Rphi_RPHIM00000028375	798.8284271254	311.097251625233	1.95061756956846	1	1.36052002396808
Rphi_RPHIM00000033693	0.1	22.8069235604	-2.37929004431086	1	-7.83332804354938
Rphi_RPHIM00000006737	1.17491195283333	69.2940357179667	-1.94243642074396	1	-5.8821066306481
Rphi_RPHIM00000003872	0.1	44.8009076556333	-3.65028505849921	1	-8.80738415100886
Rphi_RPHIM00000032275	0.1	31.9325164132333	-3.61844744977977	1	-8.31888243744762
Rphi_RPHIM00000007110	235.4650243351	42.7782186606667	1.82074029021946	1	2.46056446651565
Rphi_RPHIM00000012542	17.668980753	112.082123870333	-1.71892402985865	1	-2.66526547453371
Rphi_RPHIM00000022610	1675.33805511037	895.557067868667	1.93134621163735	1	0.903594963029139
Rphi_RPHIM00000016219	498.683102105533	1149.2309466321	-3.31924633195255	1	-1.20447352440377
Rphi_RPHIM00000032769	0.1	16.1259756735	-2.34193325751465	1	-7.33324264065089
Rphi_RPHIM00000017247	604.2376222241	917.388427302567	-1.79184413332439	1	-0.602416693422982
Rphi_RPHIM00000021117	5.04846009733333	82.4847529126333	-1.88883199390879	1	-4.03021216252875
Rphi_RPHIM00000013450	0.1	3.64570274573333	-1.88199069885262	1	-5.18812503017031
Rphi_RPHIM00000012923	34.9759042328	245.405507684767	-1.88934999784336	1	-2.81073436704623
Rphi_RPHIM00000007790	64.9771913267333	362.822655968233	-2.23560536329605	1	-2.48125925693672
Rphi_RPHIM00000020098	13.5705349212667	120.3862165844	-1.94963631100131	1	-3.14912072770969
Rphi_RPHIM00000021465	1.71774071916667	31.4474728204667	-1.88417518245847	1	-4.19435989061621
Rphi_RPHIM00000035746	10.9998986987	0.1	1.80296610678305	1	6.7813464273832
Rphi_RPHIM00000025594	26.1846808406333	0.1	3.5737420800295	1	8.0325792099738
Rphi_RPHIM00000005918	0.1	32.9158366238333	-3.62414392045125	1	-8.36263805706526
Rphi_RPHIM00000005250	0.1	22.4714271365333	-2.97591450454213	1	-7.81194794123593
Rphi_RPHIM00000032863	0.1	31.1440248849	-3.62469556914825	1	-8.28281159232453
Rphi_RPHIM00000030089	184.6468288922	363.073645717367	-1.72123932041262	1	-0.975493727562975
Rphi_RPHIM00000024038	0.1	26.2471070341667	-2.97284189241293	1	-8.0360146069358
Rphi_RPHIM00000012496	0.1	3.38029767633333	-1.8569703168772	1	-5.07907839383858
Rphi_RPHIM00000012597	41.3500247919	455.2495184723	-2.02994180969116	1	-3.46069739173734
Rphi_RPHIM00000032006	8.62004242263333	74.0932245042333	-1.77383722291937	1	-3.10357474600282
Rphi_RPHIM00000001585	1018.81482926913	685.405797181333	2.70144744937751	1	0.571861564521443
Rphi_RPHIM00000019122	260.213234704967	61.1758416271667	1.81649470913595	1	2.08866039138899
Rphi_RPHIM00000005942	0.457639148766667	68.5889510091	-2.35535404345188	1	-7.22762190838966
Rphi_RPHIM00000005946	0.457639148766667	56.0888478903	-2.20305530701729	1	-6.93735966616758
Rphi_RPHIM00000005947	0.1	47.3101892364333	-3.5206440297334	1	-8.88600712128416
Rphi_RPHIM00000030728	0.848611630866667	43.7690669259333	-1.69269505568041	1	-5.6886633665436
Rphi_RPHIM00000027671	0.1	22.4714271365333	-2.97591450454213	1	-7.81194794123593
Rphi_RPHIM00000030072	0.977918056333333	53.0037934109667	-1.69459528421446	1	-5.76023822385763
Rphi_RPHIM00000022222	0.1	5.20062993433333	-1.91554276904369	1	-5.70061447739041
Rphi_RPHIM00000028274	7.34915737766667	62.5187854495667	-1.67564735946798	1	-3.08863899999741
Rphi_RPHIM00000002613	0.1	2.64732642573333	-1.76205896034287	1	-4.72646419064684
Rphi_RPHIM00000016859	3.39539153826667	87.8098619960333	-2.15978139032865	1	-4.69273312609932
Rphi_RPHIM00000010572	887.482974595567	1319.31745259613	-1.69710175557482	1	-0.572000397591773
Rphi_RPHIM00000035864	1025.7055939173	2004.24662115793	-2.4212750042147	1	-0.966443345391073
Rphi_RPHIM00000003259	0.1	26.6347655755667	-3.33687512613009	1	-8.05716677292812
Rphi_RPHIM00000025612	4.42915489196667	75.4055949354667	-1.74963159186859	1	-4.089568216679
Rphi_RPHIM00000012279	0.1	14.3482533957667	-2.380146483564	1	-7.16473131896645
Rphi_RPHIM00000014051	379.631592326233	582.372018714833	-1.74771966786187	1	-0.617340983793054
Rphi_RPHIM00000027663	258.305842382333	628.8726765858	-1.94539631045238	1	-1.28368767956514
Rphi_RPHIM00000022535	8.00574703473333	79.7684090360333	-1.75501689663622	1	-3.31670956861816
Rphi_RPHIM00000008136	561.768497232333	260.287519418333	1.81483184709726	1	1.10986958619246
Rphi_RPHIM00000013405	3279.69311428143	1632.77475399247	2.63253785206964	1	1.00623504539161
Rphi_RPHIM00000005461	0.848611630866667	66.7877037353667	-1.87453649245503	1	-6.29833425076442
Rphi_RPHIM00000006464	0.1	6.25888807783333	-3.02507240230013	1	-5.96783447295882
Rphi_RPHIM00000008826	3.32371505416667	66.1455988361667	-2.16334241904593	1	-4.31477655770082
Rphi_RPHIM00000025713	27.7617399668	151.861978539333	-1.6767009656911	0.999999999999999	-2.4515908128488
Rphi_RPHIM00000025642	0.426300321966667	46.8447116867	-2.06447607104666	0.999999999999999	-6.77987223567438
Rphi_RPHIM00000025670	2.89065816543333	178.895215778433	-2.16939867927984	0.999999999999999	-5.951572982364
Rphi_RPHIM00000006396	0.6741675931	85.7336614895667	-2.33768607583704	0.999999999999999	-6.99061066935403
Rphi_RPHIM00000025085	2.16459639336667	38.6864560203333	-1.80920962659571	0.999999999999999	-4.15965861987415
Rphi_RPHIM00000016923	1.7197352257	48.9388493779667	-1.87445112332824	0.999999999999999	-4.8307218154346
Rphi_RPHIM00000012913	0.1	10.5078490701333	-2.28177345056506	0.999999999999999	-6.71532357330581
Rphi_RPHIM00000006171	3.79511509366667	48.2516446734667	-1.82188835689784	0.999999999999999	-3.66836257423291
Rphi_RPHIM00000009590	7.1286778149	160.9492618033	-1.75306011387218	0.999999999999999	-4.49682763074158
Rphi_RPHIM00000029749	104.233349220467	330.1381060049	-2.3249323338617	0.999999999999999	-1.66325273199808
Rphi_RPHIM00000019016	0.6741675931	55.9077120063333	-1.77632362797115	0.999999999999999	-6.37379621505761
Rphi_RPHIM00000000584	802.328190782	339.570239406333	1.90115104097354	0.999999999999999	1.2404824651597
Rphi_RPHIM00000012511	693.990776482133	1194.1956139108	-2.0766771214876	0.999999999999999	-0.783050781212777
Rphi_RPHIM00000033805	6.890287562	144.2664484284	-1.76571858288085	0.999999999999999	-4.38802781159673
Rphi_RPHIM00000008064	1961.00237027193	3436.44149608473	-3.08970564644712	0.999999999999999	-0.809324118997214
Rphi_RPHIM00000009519	0.6741675931	66.5296896751	-1.78834386348478	0.999999999999999	-6.62474721476327
Rphi_RPHIM00000020911	0.1	35.2830345416333	-3.69977958850795	0.999999999999999	-8.46283083598471
Rphi_RPHIM00000026659	15.4419165686667	119.3730596454	-1.83810628205269	0.999999999999999	-2.95055355451227
Rphi_RPHIM00000035257	0.1	15.5077983630667	-2.9919476975926	0.999999999999999	-7.27685007175522
Rphi_RPHIM00000024306	13.1835135575667	168.862872080867	-2.07644040014858	0.999999999999999	-3.67904533583185
Rphi_RPHIM00000003904	1.63055659503333	109.490788837933	-2.11275036564507	0.999999999999999	-6.06930117820196
Rphi_RPHIM00000000025	900.980714075967	370.685642486	2.89432737193945	0.999999999999999	1.28129998747367
