genes	Ff_mean	Fm_mean	theta	prob	log2FC
Rphi_RPHIM00000015567	520.775682702167	252.4277185823	0.837793971648132	0.974336690859013	1.0447917458528
Rphi_RPHIM00000004991	991.189673112767	701.542128735467	0.747947684783557	0.974334013770165	0.498631413971082
Rphi_RPHIM00000014786	468.757200667733	146.2717154937	1.08394833337155	0.974325730649045	1.68019002912557
Rphi_RPHIM00000003815	199.741799636	86.7334670197	1.07694401457216	0.974322615435106	1.20347558975126
Rphi_RPHIM00000005401	270.804654337767	111.925650625967	0.853124196621848	0.974317191211882	1.27471183014253
Rphi_RPHIM00000028951	92.3914887995	24.3599545450667	0.698104017016506	0.974307843079353	1.92324851396595
Rphi_RPHIM00000008876	1.9024382159	0.1	0.838112559694905	0.97430215562107	4.24977769602115
Rphi_RPHIM00000016127	1.9024382159	0.1	0.838112559694905	0.97430215562107	4.24977769602115
Rphi_RPHIM00000012422	843.200088128667	444.961667548633	1.08515166118158	0.974295133018779	0.922193961276501
Rphi_RPHIM00000014467	1.99499087923333	0.1	1.07579724977301	0.974289216214348	4.31831024558816
Rphi_RPHIM00000014360	3.43038600606667	0.1	1.07572998701107	0.97428727022384	5.10029902047053
Rphi_RPHIM00000023232	2793.69373922083	1854.6540793403	0.852851654063017	0.974286168424319	0.591023745100873
Rphi_RPHIM00000008787	283.214497793233	142.234140738633	1.04505795930807	0.974276416148736	0.993627319656465
Rphi_RPHIM00000020647	250.7256737613	147.449085920267	0.697973914923899	0.974265545207971	0.765892853815085
Rphi_RPHIM00000012125	372.5206863571	175.4116018129	1.08688357304318	0.974243264840088	1.08657637022746
Rphi_RPHIM00000032454	858.885497226433	503.861270570867	1.0869310302717	0.974241700964746	0.769439243096534
Rphi_RPHIM00000007069	746.9088120975	383.919239210833	0.839006269303365	0.974211031317366	0.960129260097044
Rphi_RPHIM00000016103	1864.92982214943	776.161110442267	1.04573434280683	0.974209135300236	1.26469328866674
Rphi_RPHIM00000023235	405.511346013367	159.064391652933	1.08796481027027	0.974207420783852	1.35013137256737
Rphi_RPHIM00000008426	249.729010385333	116.985679546333	1.04575964319485	0.974206652564466	1.09403148782397
Rphi_RPHIM00000033245	53.4550955506667	11.8836090821667	0.851871448913141	0.974188822790671	2.16935442506314
Rphi_RPHIM00000010426	388.236316323667	122.3039037102	1.0985313830793	0.974168045632398	1.66646462394606
Rphi_RPHIM00000011506	400.504331665567	141.8759940431	0.851479515778233	0.974152375048055	1.49718734565671
Rphi_RPHIM00000019928	369.573698148933	157.940867293533	0.851471331795494	0.97415161518122	1.22647756886549
Rphi_RPHIM00000030017	544.246094691067	278.358900702333	1.09021459168466	0.974135364734044	0.967312935174017
Rphi_RPHIM00000015780	380.610258242033	72.2206046662333	0.851208225757425	0.974127212409231	2.39783204138448
Rphi_RPHIM00000032219	2928.63446633367	1452.89856245027	1.09089526116375	0.974114932248032	1.01129415504617
Rphi_RPHIM00000008098	848.119524067	493.644972453533	0.775631070336348	0.974107284329749	0.780793761642829
Rphi_RPHIM00000003852	764.2168209474	347.644402420733	1.04681603391038	0.974104042008883	1.13636965253936
Rphi_RPHIM00000004621	221.434552653967	93.2994852611667	1.04682132469803	0.974103558128807	1.24693933108379
Rphi_RPHIM00000008084	191.055250703667	87.0330148361	0.85086609728868	0.974101344595519	1.13435522991803
Rphi_RPHIM00000015051	41.3951884192	5.97276032886667	0.748726220191903	0.974098878777627	2.79299334892237
Rphi_RPHIM00000001585	757.170907581533	324.389009262833	0.850827558673431	0.974098497773295	1.22289404019023
Rphi_RPHIM00000033014	1.87792186406667	0.1	1.07151566720418	0.974097489538842	4.2310651319639
Rphi_RPHIM00000017365	1.87792186406667	0.1	1.07151566720418	0.974097489538842	4.2310651319639
Rphi_RPHIM00000011813	1.87792186406667	0.1	1.07151566720418	0.974097489538842	4.2310651319639
Rphi_RPHIM00000023064	1.87792186406667	0.1	1.07151566720418	0.974097489538842	4.2310651319639
Rphi_RPHIM00000015312	1462.07424807173	607.896617359067	1.07133914300087	0.974087573058411	1.26611868105155
Rphi_RPHIM00000010796	1219.23479909477	276.478904233967	1.09660107885526	0.97408690928316	2.14073467565324
Rphi_RPHIM00000013157	647.944636656833	287.466647883	0.850570333385976	0.974079518886219	1.17247596483514
Rphi_RPHIM00000011945	120.551499211433	37.2527874525667	0.748794837732881	0.974079151827367	1.69422930792595
Rphi_RPHIM00000000910	622.294952997033	380.223140776233	0.840680627370949	0.97407264553147	0.710752206992581
Rphi_RPHIM00000008603	38903.8767839396	22886.1466535789	0.850396812520882	0.974066737720335	0.765439350999879
Rphi_RPHIM00000029467	387.6283354362	185.357844515433	1.0473334784914	0.974056599583339	1.06436086225132
Rphi_RPHIM00000015740	1331.8051661887	823.8058779995	0.850173548196389	0.974050318268992	0.693006716380972
Rphi_RPHIM00000002788	1106.56314355457	521.8317538982	0.841037587457092	0.974047267059648	1.08442913652076
Rphi_RPHIM00000024482	45.8122620471	9.67654048836667	0.8498299903867	0.974025108463756	2.24317054059407
Rphi_RPHIM00000012338	26.8263707636	5.7293231943	0.841519563184079	0.974013812448164	2.22721526273698
Rphi_RPHIM00000019497	9.87701681823333	0.693714635466667	0.775301926571279	0.974003831953024	3.83166113966027
Rphi_RPHIM00000013497	9083.02443818827	3998.6224395553	1.06966919814287	0.973993002320031	1.18366969725293
Rphi_RPHIM00000007773	315.995331919367	175.985951152567	0.749134922353987	0.973981230154313	0.844442982142037
Rphi_RPHIM00000021491	2506.25799271587	1296.4853085368	0.697091558106818	0.973980602316432	0.950929074471826
Rphi_RPHIM00000029440	88.1739198320333	28.5587761174	0.848947391964882	0.973977374173437	1.62641784294755
Rphi_RPHIM00000020135	416.191038106067	234.34723081	0.848741178537211	0.97396644364856	0.828598152522098
Rphi_RPHIM00000013672	44.7488584412667	11.1734763502333	0.749192919075075	0.973964505963037	2.00177276473446
Rphi_RPHIM00000021259	502.453438238133	301.809909657567	0.775137613257307	0.973952284525435	0.735349733414686
Rphi_RPHIM00000017325	572.2251351607	312.517258072767	0.84283170687849	0.973947586127864	0.872647008255373
Rphi_RPHIM00000003924	946.657251262367	351.560693048967	1.06886332379802	0.973946079870341	1.42906839892224
Rphi_RPHIM00000006046	532.716490930267	298.917416946533	0.696977337784755	0.973944165209192	0.833620981470484
